"batsman","total_balls","total_runs","strick_rate"
"AD Russell","832","1517","182.3317307692307700"
"SP Narine","543","892","164.2725598526703500"
"HH Pandya","847","1349","159.2680047225501800"
"V Sehwag","1755","2728","155.4415954415954400"
"GJ Maxwell","973","1505","154.6762589928057600"
"RR Pant","1368","2079","151.9736842105263200"
"AB de Villiers","3192","4849","151.9110275689223100"
"CH Gayle","3179","4772","150.1100975149418100"
"KA Pollard","2017","3023","149.8760535448686200"
"JC Buttler","1146","1714","149.5636998254799300"
